SN,ON_HOURS,NUM_OF_POWER_ONS,EXPECTED_MOTOR_ROTATIONS,SUPPOSED_MOTOR_ROTATIONS,ACTIVE_MILLING_HOURS,LCS_MAX,DAYS OFFLINE,DAYS SINCE VISIT,DAYS OFFLINE (LIVE),CATEGORY
21050601,3.98,1.0,1977.0,1977.0,2.76,15.0,60.0,61.0,1.0,Technical
19060557,1.03,1.0,12.0,12.0,0.01,15.0,275.0,205.0,284.0,Nontechnical
21110979,0.76,1.0,70.0,6.0,0.24,15.0,51.0,11.0,0.0,Technical
21050651,0.67,1.0,0.0,0.0,0.0,15.0,48.0,122.0,6.0,Nontechnical
21050615,9.95,1.0,0.0,0.0,0.01,15.0,75.0,76.0,84.0,Nontechnical
19060324,10.71,1.0,6208.0,6342.0,5.3,15.0,97.0,98.0,106.0,Nontechnical
19060345,9.97,1.0,8.0,8.0,0.01,15.0,63.0,83.0,72.0,Nontechnical
21050601,1.79,1.0,978.0,978.0,1.79,15.0,32.0,135.0,0.0,Technical
21050719,2.83,1.0,9.0,9.0,1.58,15.0,124.0,5.0,1.0,Technical
21110903,1.63,1.0,75.0,75.0,0.88,15.0,39.0,61.0,60.0,Technical
19060416,3.97,1.0,970.0,913.0,3.12,15.0,43.0,65.0,2.0,Technical
19060416,3.62,1.0,6.0,6.0,1.16,15.0,31.0,31.0,0.0,Nontechnical
18040178,9.94,1.0,986.0,986.0,4.4,15.0,546.0,524.0,555.0,Nontechnical
18040245,8.67,1.0,95.0,95.0,4.93,15.0,158.0,206.0,167.0,Technical
19060395,8.34,1.0,0.0,0.0,0.0,15.0,31.0,34.0,0.0,Technical
19060571,7.01,1.0,5226.0,5225.0,6.2,15.0,298.0,75.0,307.0,Nontechnical
21110893,0.35,1.0,176.0,175.0,0.26,15.0,39.0,61.0,60.0,Technical
19060395,7.38,1.0,967.0,967.0,4.47,15.0,31.0,34.0,0.0,Technical
21050719,9.94,1.0,9930.0,9930.0,8.96,15.0,79.0,100.0,5.0,Nontechnical
21111023,2.62,1.0,529.0,567.0,1.15,15.0,37.0,3.0,0.0,Technical
